,p1dist
331,10.63797113358366
332,10.647288804922539
333,10.656606476261418
334,10.671339008221281
335,10.697693362575636
336,10.71852830908137
337,10.754008944477325
338,10.789489579873281
339,10.813245073862374
340,10.83188041654013
341,10.873550309551598
342,10.897305803540691
343,10.963191689426578
344,11.015900398135287
345,11.049495739915534
346,11.056084328504124
347,11.08967967028437
348,11.110514616790105
349,11.144109958570354
350,11.190698315264747
351,11.243817214663448
352,11.285487107674914
353,11.35796158214939
354,11.411080481548089
355,11.437434835902444
356,11.477511655696661
357,11.48410024428525
358,11.498832776245113
359,11.51200995342229
360,11.531775719188055
361,11.531775719188055
362,11.55261066569379
363,11.559199254282378
364,11.572376431459555
365,11.585553608636733
366,11.651768104470785
367,11.704476813179493
368,11.79038149832673
369,11.88262173856697
370,11.955096213041443
371,11.988039155984387
372,12.040747864693095
373,12.080279396224627
374,12.119810927756157
375,12.132988104933336
376,12.179108225053456
377,12.20546257940781
378,12.226297525913544
379,12.259240468856488
380,12.279006234622253
381,12.288323905961132
382,12.309158852466867
383,12.3299937989726
384,12.343170976149779
385,12.364005922655512
386,12.410594279349906
387,12.463302988058615
