player1boxes,player2boxes,ballpositions,ballvelocities
"(800.0, 630.0, 861.0, 818.0)","(1100.6415734619811, 164.02522413889005, 1142.8323821463184, 252.6903387672727)","(783.0, 474.0)",402.49223594996215
"(780.0, 618.0, 874.0, 817.0)","(1101.5437650639474, 163.82866472244496, 1142.2684379970133, 253.2385082015295)","(780.0, 477.0)",254.55844122715712
"(780.0, 610.0, 881.0, 815.0)","(1101.8391981481295, 164.01491455848986, 1141.6390771540464, 253.76476347008122)","(780.0, 480.0)",180.0
"(777.0, 592.0, 883.0, 810.0)","(1101.8937277664506, 163.40607157025528, 1141.976665102902, 253.76064765535023)","(780.0, 489.0)",540.0
"(784.0, 589.0, 886.0, 806.0)","(1101.8492849489242, 162.8920364023109, 1142.1757451878618, 254.08361006708844)","(780.0, 495.0)",360.0
"(786.0, 579.0, 891.0, 804.0)","(1101.289773723756, 162.33007795913392, 1142.1762406032788, 254.32890186113258)","(774.0, 501.0)",509.11688245431424
"(792.0, 584.0, 891.0, 793.0)","(1101.0408033229062, 162.02522797530224, 1142.4162594962115, 254.80741039110575)","(None, None)",1574.3570116082312
"(787.0, 582.0, 893.0, 801.0)","(1100.296377580039, 162.15428575140788, 1142.5139603083762, 255.17387212959267)","(819.0, 474.0)",1574.3570116082312
"(787.0, 567.0, 898.0, 801.0)","(1099.1589829434517, 162.60271911410888, 1142.4177223453664, 255.9024388556076)","(852.0, 453.0)",2346.9128658729537
"(786.0, 570.0, 894.0, 800.0)","(1098.2582207096757, 162.93856165736756, 1143.0336667291535, 256.3806737167504)","(873.0, 450.0)",1272.7922061357856
"(786.0, 581.0, 894.0, 800.0)","(1097.3805717035696, 163.20125659884752, 1143.3230243861838, 257.3989342336377)","(897.0, 435.0)",1698.1166037701887
"(786.0, 592.0, 896.0, 800.0)","(1096.1461366049252, 163.87469395530508, 1143.185556428587, 258.20654817371155)","(918.0, 423.0)",1451.206394693739
"(782.0, 599.0, 894.0, 801.0)","(1095.1660744093763, 164.8066231997312, 1143.410999343712, 258.9365920893824)","(927.0, 417.0)",648.9992295835181
"(781.0, 606.0, 893.0, 802.0)","(1093.9722844379608, 165.7565857322835, 1143.1550647472113, 259.0714819039702)","(951.0, 402.0)",1698.1166037701887
"(780.0, 608.0, 885.0, 799.0)","(1092.138997943284, 166.25736065845945, 1142.9445123191779, 258.74385129201823)","(966.0, 399.0)",917.8235124467012
"(779.0, 609.0, 881.0, 799.0)","(1090.9916099409807, 167.3537416549676, 1143.202786834378, 259.90755822086885)","(981.0, 396.0)",917.8235124467012
"(776.0, 610.0, 874.0, 798.0)","(1091.1459239209833, 168.40286880300997, 1143.952632499633, 259.7038501747869)","(993.0, 387.0)",900.0
"(774.0, 612.0, 869.0, 801.0)","(1091.0024883895342, 168.76485552513802, 1144.3845802768162, 259.12070949553583)","(1011.0, 378.0)",1207.4767078498865
"(771.0, 612.0, 865.0, 804.0)","(1091.1359943249856, 169.4900680996709, 1145.0655782351766, 259.03978115540804)","(1020.0, 372.0)",648.9992295835181
"(762.0, 614.0, 861.0, 807.0)","(1091.54412502803, 170.55192729382952, 1145.678724062449, 259.21546520750996)","(1029.0, 369.0)",569.2099788303083
"(754.0, 615.0, 858.0, 814.0)","(1092.899629819011, 171.85524109876295, 1147.4844108154693, 259.21801260820325)","(1041.0, 363.0)",804.9844718999243
"(741.0, 617.0, 857.0, 810.0)","(1093.1756941970277, 173.4045300376691, 1148.598848206089, 259.6223742601066)","(1050.0, 360.0)",569.2099788303083
"(736.0, 619.0, 858.0, 807.0)","(1092.9338281499797, 175.5637117285155, 1149.1358927622166, 260.3003566479235)","(1059.0, 357.0)",569.2099788303083
"(728.0, 621.0, 858.0, 803.0)","(1093.804426224816, 176.73734153426153, 1151.104569827333, 260.3586713608927)","(1071.0, 357.0)",720.0
"(726.0, 625.0, 859.0, 801.0)","(1093.3811153267745, 177.8260881360835, 1152.3014450295698, 260.88142836806577)","(1083.0, 351.0)",804.9844718999243
"(722.0, 627.0, 859.0, 803.0)","(1092.4619661937486, 178.3386505555724, 1153.7768863719903, 261.68592126329474)","(1086.0, 351.0)",180.0
"(720.0, 629.0, 859.0, 806.0)","(1092.3946285819902, 178.49676593929246, 1155.6741099276796, 261.57232483994494)","(1095.0, 345.0)",648.9992295835181
"(718.0, 629.0, 860.0, 808.0)","(1091.975034799786, 178.19821113037116, 1156.6591603457618, 261.0279938062959)","(1104.0, 342.0)",569.2099788303083
"(717.0, 634.0, 859.0, 810.0)","(1092.7552410452045, 179.227021580317, 1158.784054369854, 262.2193793217195)","(1107.0, 345.0)",254.55844122715712
"(717.0, 629.0, 858.0, 809.0)","(1092.49374338435, 178.98111745042667, 1160.3341377449922, 261.90154090849416)","(1113.0, 345.0)",360.0
"(719.0, 634.0, 857.0, 810.0)","(1093.368244559461, 180.1968482601963, 1161.438741581966, 262.5772105167142)","(1119.0, 345.0)",360.0
"(718.0, 633.0, 853.0, 810.0)","(1092.610526559211, 180.18577031757462, 1161.9393874947373, 261.9701154157542)","(1125.0, 345.0)",360.0
"(715.0, 629.0, 854.0, 805.0)","(1093.3965229076416, 182.01996497965868, 1163.1856632727104, 262.4723208386057)","(1131.0, 348.0)",402.49223594996215
"(716.0, 629.0, 853.0, 802.0)","(1093.5264268365838, 182.34305346559194, 1164.5692139981954, 262.0585631818131)","(1137.0, 345.0)",402.49223594996215
